fld_num,fld_names,lift,precision,recall,tot_lift,tot_recall,tot_prec
35,q_rh_low_20M^prpsl_low_10M^q_rl_low_20M^q_rh_close_5M^q_rh_high_20M^q_sma_high_15M_pdif^q_rl_close_20M,0.81087,0.83857,0.02886,0.70638,0.00507,0.86996
43,q_rl_high_30M^prpsl_low_360M^q_rl_close_5M^prpsh_high_15M^q_sma_low_7M_pdif^q_rh_low_5M^q_rh_low_30M,0.8098,0.8375,0.03102,0.71142,0.00549,0.875
13,prpsl_low_5M^q_rl_high_20M^prpsl_low_60M^q_sma_low_15M_pdif^q_rh_low_20M^q_rl_close_30M^q_rl_close_20M,0.81002,0.83772,0.02948,0.70923,0.0052,0.87281
40,q_rl_close_30M^q_sma_close_15M_pdif^q_sma_close_10M_pdif^prpsh_high_240M^q_rh_close_30M^q_rh_close_5M^q_rl_low_10M,0.80763,0.83533,0.04306,0.71966,0.00771,0.88323
42,q_rl_high_20M^q_sma_high_20M_pdif^q_rh_low_10M^prpsh_high_300M^q_rh_high_20M^prpsl_low_180M^q_rl_close_20M,0.80848,0.83618,0.03781,0.70673,0.00666,0.87031
39,q_rl_close_20M^q_rl_close_5M^q_sma_close_20M_pdif^q_rh_high_20M^q_sma_high_20M_pdif^prpsl_low_360M^q_rl_low_30M,0.80787,0.83557,0.03843,0.69884,0.00672,0.86242
33,q_rh_low_5M^q_rh_low_30M^q_rl_close_5M^q_slope_close_2M^prpsl_low_15M^q_rh_high_30M^q_rl_high_20M,0.81062,0.83832,0.0216,0.71068,0.00382,0.87425
38,q_rl_close_10M^q_rh_close_10M^q_rl_low_30M^q_rh_high_5M^prpsh_high_360M^q_sma_close_20M_pdif^q_rl_low_10M,0.8066,0.8343,0.04429,0.6998,0.00776,0.86337
30,q_rh_high_10M^q_rl_high_30M^prpsh_high_120M^q_rh_high_30M^q_rl_close_30M^q_sma_high_20M_pdif^q_rh_high_10M,0.80668,0.83438,0.0412,0.69267,0.00716,0.85625
26,q_rh_close_10M^q_rl_low_20M^q_rl_low_10M^prpsh_high_360M^q_rh_close_20M^q_rl_close_20M^q_sma_close_10M_pdif,0.80481,0.83251,0.05216,0.69603,0.00912,0.85961
44,q_rl_low_10M^q_rh_high_10M^q_sma_close_30M_pdif^q_rh_close_5M^q_rh_close_30M^prpsh_high_300M^q_rl_high_30M,0.80674,0.83444,0.03889,0.72053,0.00698,0.88411
28,q_rh_close_30M^q_sma_close_15M_pdif^q_rh_low_10M^q_rl_close_20M^q_rl_close_30M^q_sma_volume_10M_pdif^prpsl_low_360M,0.80335,0.83105,0.05617,0.72455,0.01017,0.88813
19,prpsl_low_90M^q_rh_low_5M^prpsl_low_15M^q_rh_low_30M^q_rl_high_30M^q_sma_high_15M_pdif^q_rl_high_10M,0.80686,0.83456,0.03503,0.72245,0.0063,0.88603
17,prpsl_low_30M^q_rl_low_20M^q_rl_low_10M^q_rh_high_10M^q_rl_close_20M^q_slope_close_7M^q_rl_high_20M,0.80837,0.83607,0.02361,0.71621,0.00421,0.87978
24,prpsl_low_360M^q_sma_close_20M_pdif^q_rl_close_30M^q_rh_low_5M^q_rh_close_30M^q_sma_low_15M_pdif^q_rl_low_30M,0.80162,0.82932,0.06373,0.71193,0.01139,0.8755
3,prpsh_high_15M^q_sma_volume_10M_pdif^q_rl_close_30M^prpsl_low_10M^q_sma_low_15M_pdif^q_rl_low_10M^q_slope_close_2M,0.80856,0.83626,0.02207,0.71947,0.00395,0.88304
9,prpsh_high_180M^q_rh_close_20M^q_slope_close_15M^q_slope_close_2M^q_rh_high_30M^q_rl_close_30M^q_sma_close_7M_pdif,0.80866,0.83636,0.0213,0.72733,0.00384,0.89091
1,prpsh_high_5M^q_slope_close_5M^q_rl_low_10M^q_rh_close_20M^q_slope_close_2M^q_rh_high_10M^q_rl_close_20M,0.80904,0.83673,0.01898,0.70717,0.00334,0.87075
37,q_rl_close_5M^prpsh_high_360M^q_rh_close_5M^q_rl_close_10M^q_rl_high_20M^q_sma_close_20M_pdif^q_rh_high_10M,0.80624,0.83394,0.03565,0.71729,0.00638,0.88087
17,prpsl_low_30M^q_rl_low_20M^q_rh_low_20M^q_sma_high_10M_pdif^prpsh_high_30M^q_rh_low_10M^q_rl_low_30M,0.80708,0.83478,0.02963,0.71034,0.00525,0.87391
35,q_rh_low_20M^q_rh_low_30M^prpsh_high_180M^q_sma_high_20M_pdif^q_rh_high_20M^q_sma_high_10M_pdif^q_rl_close_30M,0.80423,0.83193,0.04583,0.71037,0.00815,0.87395
