"pred_ndx","pred_stat","pred_class","actual_class","pred_prob"
73348,"B",2,1,0.5241954
73349,"B",2,1,0.5233065
73350,"B",2,1,0.52687
73351,"G",2,2,0.52956617
73352,"G",2,2,0.5292318
73353,"G",2,2,0.52741206
73354,"G",2,2,0.528109
73355,"G",2,2,0.52648044
73356,"G",2,2,0.52897793
73357,"G",2,2,0.5282914
73358,"G",2,2,0.53211606
73359,"G",2,2,0.52671576
73360,"G",2,2,0.52436966
73361,"G",2,2,0.52427995
73362,"G",2,2,0.52427995
73363,"G",2,2,0.5327414
73364,"G",2,2,0.5302694
73365,"G",2,2,0.53223306
73366,"G",2,2,0.5257432
73367,"G",2,2,0.5243873
73368,"G",2,2,0.52453864
73369,"G",2,2,0.52457345
73370,"G",2,2,0.5261474
73371,"G",2,2,0.52129287
73372,"G",2,2,0.52329767
73373,"G",2,2,0.52046645
73374,"G",2,2,0.52821416
73375,"G",2,2,0.52626216
73376,"G",2,2,0.52317023
73377,"G",2,2,0.52566767
73378,"G",2,2,0.5237727
73379,"G",2,2,0.5234927
73380,"G",2,2,0.52236325
73381,"G",2,2,0.5251028
73382,"G",2,2,0.5267588
73383,"G",2,2,0.5263628
73446,"G",2,2,0.52079964
73447,"B",2,1,0.5222141
73449,"G",2,2,0.52408296
73453,"G",2,2,0.5196843
73454,"G",2,2,0.52015734
73455,"G",2,2,0.5206407
73489,"B",2,1,0.5205454
73493,"G",2,2,0.523336
73494,"G",2,2,0.5228502
73495,"G",2,2,0.5208497
73496,"G",2,2,0.5198035
73497,"G",2,2,0.52047294
73498,"G",2,2,0.5248399
73499,"G",2,2,0.52307713
73500,"G",2,2,0.52245206
73501,"G",2,2,0.5232845
73502,"G",2,2,0.5227242
73503,"G",2,2,0.5214726
73504,"G",2,2,0.5222079
73505,"G",2,2,0.5207898
73506,"G",2,2,0.5219638
73507,"G",2,2,0.5216173
73508,"G",2,2,0.5211105
73509,"G",2,2,0.52355504
73510,"G",2,2,0.523936
73511,"G",2,2,0.523936
73512,"G",2,2,0.52534777
73513,"G",2,2,0.52702934
73514,"G",2,2,0.52489746
73515,"G",2,2,0.52687895
73516,"G",2,2,0.5278738
73517,"G",2,2,0.5277828
73518,"G",2,2,0.53248537
73519,"G",2,2,0.5315051
73520,"G",2,2,0.53104955
73521,"G",2,2,0.5284551
73522,"G",2,2,0.52923834
73523,"G",2,2,0.5267171
73524,"G",2,2,0.5284514
73525,"B",2,1,0.52202815
73526,"B",2,1,0.5199915
73528,"G",2,2,0.52108306
73529,"G",2,2,0.5195816
73531,"G",2,2,0.51943797
73532,"G",2,2,0.5192252
73538,"B",2,1,0.52053
73539,"G",2,2,0.5197372
73545,"B",2,1,0.52064276
73546,"B",2,1,0.5192164
73547,"B",2,1,0.52290934
73548,"B",2,1,0.531779
73549,"B",2,1,0.5281918
73550,"G",2,2,0.52964777
73551,"G",2,2,0.52736855
73552,"G",2,2,0.5294488
73553,"G",2,2,0.52506834
73554,"G",2,2,0.5254786
73555,"G",2,2,0.52655846
73556,"G",2,2,0.52382064
73557,"G",2,2,0.5216251
73558,"G",2,2,0.5217285
73564,"B",2,1,0.5221516
73565,"B",2,1,0.5210701
73566,"B",2,1,0.5211752
73567,"B",2,1,0.5206945
73570,"B",2,1,0.5193905
73571,"B",2,1,0.52281904
73572,"B",2,1,0.52258456
73573,"B",2,1,0.5280629
73574,"B",2,1,0.52419466
73575,"B",2,1,0.5334507
73576,"B",2,1,0.5319958
73577,"B",2,1,0.5327886
73578,"B",2,1,0.53262836
73579,"B",2,1,0.5317321
73580,"B",2,1,0.5262547
73581,"B",2,1,0.5257645
73582,"B",2,1,0.5262503
73583,"B",2,1,0.52547395
73584,"B",2,1,0.5280027
73585,"B",2,1,0.5280938
73586,"B",2,1,0.52497643
73587,"B",2,1,0.52261865
73588,"B",2,1,0.52635235
73589,"B",2,1,0.53115773
73590,"B",2,1,0.52971286
73591,"B",2,1,0.526484
73592,"B",2,1,0.5282679
73593,"B",2,1,0.5280093
73594,"B",2,1,0.52925813
73595,"G",2,2,0.5258866
73596,"G",2,2,0.5258762
73597,"G",2,2,0.52894455
73598,"G",2,2,0.5319428
73599,"G",2,2,0.5320873
73600,"G",2,2,0.5303412
73601,"G",2,2,0.5286068
73602,"G",2,2,0.52588904
73603,"G",2,2,0.5260492
73604,"G",2,2,0.52726233
73605,"G",2,2,0.52896184
73606,"G",2,2,0.5265277
73607,"G",2,2,0.52281195
73608,"G",2,2,0.5215341
73609,"G",2,2,0.5205025
73610,"G",2,2,0.5207594
73611,"G",2,2,0.5230234
73612,"G",2,2,0.5203119
73613,"G",2,2,0.51948565
73614,"G",2,2,0.5213228
73615,"G",2,2,0.52465636
73616,"G",2,2,0.52480894
73617,"G",2,2,0.52554524
73618,"G",2,2,0.52540165
73619,"G",2,2,0.5248097
73620,"G",2,2,0.53128636
73621,"G",2,2,0.529136
73622,"G",2,2,0.528329
73623,"G",2,2,0.524481
73624,"G",2,2,0.52542216
73625,"G",2,2,0.52683663
73626,"G",2,2,0.52134925
73627,"G",2,2,0.5228038
73628,"G",2,2,0.5239972
73629,"G",2,2,0.52327406
73631,"G",2,2,0.519946
73638,"G",2,2,0.5207342
73640,"G",2,2,0.52271086
73641,"G",2,2,0.52025217
73642,"G",2,2,0.5229842
73643,"G",2,2,0.52174836
73644,"B",2,1,0.52179635
73645,"B",2,1,0.52514213
73646,"B",2,1,0.5258052
73649,"B",2,1,0.52079505
73651,"B",2,1,0.51999676
73652,"B",2,1,0.5198687
73653,"B",2,1,0.5219562
73654,"B",2,1,0.521818
73655,"B",2,1,0.5235042
73660,"B",2,1,0.52123916
73661,"B",2,1,0.5214727
73662,"B",2,1,0.5207428
73665,"B",2,1,0.52002704
73676,"B",2,1,0.52085894
73681,"G",2,2,0.5196067
73682,"G",2,2,0.52124774
73683,"G",2,2,0.5209116
73684,"G",2,2,0.5207558
73685,"G",2,2,0.5197766
73686,"G",2,2,0.5196867
73688,"G",2,2,0.5199532
73689,"G",2,2,0.51921004
73690,"G",2,2,0.5193128
73691,"G",2,2,0.5198505
73694,"G",2,2,0.5195824
73705,"G",2,2,0.52012444
73736,"G",2,2,0.522357
73737,"G",2,2,0.51973784
73740,"G",2,2,0.51998085
73741,"G",2,2,0.5229347
73750,"G",2,2,0.5211199
73751,"G",2,2,0.5218207
73752,"G",2,2,0.52227324
73753,"G",2,2,0.5213055
73754,"G",2,2,0.521601
73755,"G",2,2,0.52247554
73758,"G",2,2,0.5229737
73759,"G",2,2,0.5200982
73763,"G",2,2,0.520226
73767,"G",2,2,0.5200937
73768,"G",2,2,0.5205548
73769,"G",2,2,0.5206326
73770,"B",2,1,0.5199771
73772,"B",2,1,0.51985425
73773,"G",2,2,0.5198169
73774,"G",2,2,0.5205296
73775,"G",2,2,0.5206339
73776,"B",2,1,0.52040833
73777,"G",2,2,0.5195338
73778,"B",2,1,0.52178276
73781,"G",2,2,0.52122706
73782,"B",2,1,0.52084565
73786,"B",2,1,0.5199402
73801,"B",2,1,0.51973623
73805,"B",2,1,0.51956093
73806,"G",2,2,0.5195959
73807,"B",2,1,0.5200677
73810,"B",2,1,0.5198479
73815,"G",2,2,0.51976764
